name,image,class,class type,subclass,magic,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Ancient Short Sword,BotW_Ancient_Short_Sword_Icon.png?version=486c93e286f8dc379cec15fcc5cb2610 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/V_j_CHCiZkMiuuErPdEmNg/oXhfPeNjxH_nhFELwiyZJ-9NnlsSzENjQ_DvtXMWbgzgSzvIR8h_-yTivYRnMucPbUyYtS9CtBw5zy7INBBAfiYSipKPy25zuIrlQjR3AHkVm6UhmF5JCKrPif9MXuVZm79Rs0IX4o5yIfWubNp5K6Vr19Bl9giMjAhyFJLBb2J8BBUvbW5R2XgddOnAgMtl/aUAawYu55XHiEyJovamAtAVKyuN1r5-isz1cAqJ_snw),Weapon,Sword,Light,No,,54,40,,,,,,,,,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords.",,,,,,,,,
Blizzard Rod,BotW_Blizzard_Rod_Icon.png?version=f9bd2bfd01056fb6390ae4e60d28e7a5 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Ju0Z8GdDKUBotdtxRcXUuA/l0Y65rhz9Hq4CaRyXVaH9dwwaNYWNPOd77BNpG9ztbk4CR-BlEPyjoN56MXQmhsfsqC22U-W9TorxEH113uzcH-0EcMmw1VPzxBrO5hZhCY1Q80LuMAKEr_wVUSnxkALTpH1QAcyMdfuxqViv0WC80BO9pXc11WQD4CmtE_vCUs/glg6aelscj1x49hxzcAADy-ay9F1UO-ExaVQ6_V_XBs),Weapon,Rod,Light,Yes,,32,10,,,,,,,,,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.,,,,,,,,,
Boko Club,BotW_Boko_Club_Icon.png?version=e018fd887fdac13d06b446fb28fac5da (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/h1pRVw4xOG9K3b1gssMeyw/DutTDCIz2P5IKJ-11un2V9a7S49vpjNWt_4pMQ2Re9tF3k4-3VZbZX9oWOFTlAzRfKFDbNnJtgmNVgf12IxftxYtf8FDb587dWZEIdQoESE8jvLFnwJbNZrXogMkhAjD_f5hcR6ihd2vSJbFReBv66oiVYWb1_gQFGE5vmOEaZc/d_gYulHYythv-MtrZ6ZUYR3KFbjS271uC5wA1XTZHBk),Weapon,Club,Light,No,,8,4,,,,,,,,,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low.",,,,,,,,,
Bokoblin Arm,BotW_Bokoblin_Arm_Icon.png?version=be25984d7c028c958c461bf44673fb07 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/uIiFTXq9sJAzHfS9xJqyAw/eF2zIOhYYtWEHRx-IUxFWtCj7khZBonukTM2GqYXGdspB77OFySrxiDr2sWh1fp5c-oYEUepolphmbuutF6UgIQziP6Zh5H_xxZjsIoY_8aXDnED2cGNzu6XZKJTVD8UIXakaxs56Bbx0d_pFxeZcxLdIZ04ut5pflMgNm6cmVs/s8ymU-NLmhU6IqNY2zciYMS2R8tpYuyyizSA8Lso0Ko),Weapon,Club,Light,No,,5,5,,,,,,,,,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break.",,,,,,,,,
Boomerang,BotW_Boomerang_Icon.png?version=96318352d5aae4edd4a364e5fad0f1c4 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/mFOyZi_ksV9kEngdpmsm5Q/g2g2OHPb6rAqD-WyryB4GgPe7lbFO0Aimvu5_LjvQA2sPEm8_dEEP_9LxkpLyOKpK0BPrlzHU-5j1g4vARJP4hJTXozeLJSTwIvrUxqdABIyUbRyp5vLOgVISp-s9sk1tV8G4yxoNOKCcKBFcOwioae58Kys7Z1vvikszfBQ9IA/QhuoYcMGeM7IW0_w5ud_6Sab7a2yE0L74dJ7YLLwfHg),Weapon,Boomerang,Light,No ,,18,8,,,,,,,,,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.,,,,,,,,,
Demon Carver,BotW_Demon_Carver_Icon.png?version=db18075e98d136f94140977003a9cf88 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/69T1m0CBQSMQWd-yMryMrA/aVbJIHdHDr0HqCva1QcD02Z7nWGF0FFVU1IDRXZfzubHc5KZbceFOhiqEOMaDd1p1ZALSbsdgTITzGDME6Zbpa1joCmVsVLXXWufshOGhQTfWYzAYRa8Ym_HVScM11zjkUOiLoXkYiVmNvAAZtglG9oAuvkbKfOL2ch4RpxdUbc/JX-qtgZXWdTKluizMv2XGyWo1uILsldFE1E8n3BgTz8),Weapon,Carver,Light,No,,25,40,,,,,,,,,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.,,,,,,,,,
Dragonbone Boko Club,BotW_Dragonbone_Boko_Club_Icon.png?version=d285ae0ccf505956cb073e30cbb282de (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/e91TFk-VWavls-IgASCcXg/uKX9xfTHw-YfCVztd2v1lxbIjdRjNo-Jd3_TCiXZwh05jF9Xk97DPmWq7lMAWkmydXvlya3IiNKaeaA99tcBTAN-dt5b7_uTg81le6SxCqnhidFP5oSL_veP7fklYrQN1cZ2CioZpouJjzqgEgWBCIGluQGZy9nFaDsTUNxwMkOK_p8VpMt3b5JMZTtJul4S/iFvRjORv6uw8KPE1wpGw6_dWD0xlAYwvJiBGb2zT0y4),Weapon,Club,Light,No ,,18,24,,,,,,,,,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.,,,,,,,,,
Eightfold Blade,BotW_Eightfold_Blade_Icon.png?version=953b1fac46cd8f46756a527d95fd2bb6 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/A2L_p1M-Wcu8GqfLZbQYWw/umkTUR8CgGnI9P0UDm3oYXlj2e93oNJF3Cyazdw4phmBB_Puk50CK3QtFY-gukdz47ISVib_DgNOjctB9N_Kdo7mzXlU0QNEuVTAvnicmnlNTmmw5qk0CPP5zLksjR3vQIEMVP41vjWhiNv9hO4Uha8XDgJW0A61EYgV-2kHWPQ/kq76H5C3_CbDlgDKLgFhsZU7ZkYpwYGfoJqAfLtqCvE),Weapon,Blade,Light,No,,26,15,,,,,,,,,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.,,,,,,,,,
Fire Rod,BotW_Fire_Rod_Icon.png?version=9c9230bc9f584ec7caea7fc9250e3902 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/jQx0fl8GEnIQ1dcz_JNp_A/W0eX4jkYlB3LB0n2FK7-3bywhKUwom5TlfXTc01pyTXsCiJSzCP125Lx9vlXOSU9KFIW9sfxWLoJUfUuu_t-Ro_wi6Qd_LPf9rnMcTQhfuGZKcLjvzVEinbiGSarOkd4St8Q0hspvevzjCabpawIJI1B8AulLQ6t-XO6G9LwWQQ/B1JwDb12Iee39E6NVLRCUsHi4V5whxN2q5qfVGg5pnw),Weapon,Rod,Light,Yes,,14,5,,,,,,,,,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely.",,,,,,,,,
Fishing Harpoon,BotW_Fishing_Harpoon_Icon.png?version=36b5a7a906a4e39ca6c44babe60eb725 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/nrURaVGJMtMBqgJh5kNGow/rGMZd00zEPC-W6J0_PkLXtX7s-zr2SXdQ-aq3QisoJQztwkT8lYpDXQwQFmk0Rb8Z31TGrYPhR2C1DS-1tD2ss191gHw8TVnP5WTwP7tLwgTUNjWVENmbxgTOREvYSB4hmbt5MYk1aDw8glh3DKk6s-nc1jnZAIbyEL5N4uW4WY/heiAVK4ViZTMKzkHXqh0JDp-lWJLtfiPX6fMp94tt94),Weapon,Spear,Light,No,,12,8,,,,,,,,,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,,,,,,,,,
