Recipe Name,Class,Category,Heart Recovery,Bonus 1,Bonus 2,Buff Effect,Item Description,All Ingredients,Ingredient
Apple Pie,Cake and Sweets,Cooked,3,None,None,None,"The crispy, flaky pie crust and sweet apples are a match made in heaven.","Tabantha Wheat, Cane Sugar, Goat Butter, Apple",Tabantha Wheat
Apple Pie,Cake and Sweets,Cooked,3,None,None,None,"The crispy, flaky pie crust and sweet apples are a match made in heaven.","Tabantha Wheat, Cane Sugar, Goat Butter, Apple", Cane Sugar
Apple Pie,Cake and Sweets,Cooked,3,None,None,None,"The crispy, flaky pie crust and sweet apples are a match made in heaven.","Tabantha Wheat, Cane Sugar, Goat Butter, Apple", Goat Butter
Apple Pie,Cake and Sweets,Cooked,3,None,None,None,"The crispy, flaky pie crust and sweet apples are a match made in heaven.","Tabantha Wheat, Cane Sugar, Goat Butter, Apple", Apple
Baked Apple,Other Recipes,Roasted,0.75,None,None,None,Direct heat has softened and sweetened this apple. Eat it to restore three quarters of a heart.,Apple,Apple
Baked Fortified Pumpkin,Other Recipes,Roasted,0.75,None,None,None,This fortified pumpkin has been roasted whole. The hard rind serves as a container for the steamed pumpkin flesh inside.,Fortified Pumpkin,Fortified Pumpkin
Baked Palm Fruit,Other Recipes,Roasted,1.5,None,None,None,"This palm fruit was broiled with direct heat, resulting in steamed flesh inside the rind. Best served at the moment the juices emerge while roasting.",Palm Fruit,Palm Fruit
Blackened Crab,Other Recipes,Roasted,1.5,None,None,None,"A whole crab slow-roasted in its shell. The soft, flaky flesh pairs nicely with the scent of the charred shell for a meal that assaults all five of your senses in all the best ways.","Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab",Ironshell Crab
Blackened Crab,Other Recipes,Roasted,1.5,None,None,None,"A whole crab slow-roasted in its shell. The soft, flaky flesh pairs nicely with the scent of the charred shell for a meal that assaults all five of your senses in all the best ways.","Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Razorclaw Crab
Blackened Crab,Other Recipes,Roasted,1.5,None,None,None,"A whole crab slow-roasted in its shell. The soft, flaky flesh pairs nicely with the scent of the charred shell for a meal that assaults all five of your senses in all the best ways.","Ironshell Crab, Razorclaw Crab, Bright-Eyed Crab", Bright-Eyed Crab
Blueshell Escargot,Other Recipes,Roasted,4.5,None,None,None,The shell of this hearty blueshell snail acted as a tiny slow cooker as it was roasted. Some people love the trademark bitterness of its tail meat.,Hearty Blueshell Snail,Hearty Blueshell Snail
Campfire Egg,Other Recipes,Roasted,1.5,None,None,None,"Roasting a bird egg whole in its shell like this helps retain water, making the egg a bit chewier than usual.",Bird Egg,Bird Egg
Carrot Cake,Cake and Sweets,Cooked,3,Speed or Stamina,None,None,Even those who don't like carrots tend to enjoy the mild sweetness of this cake.,"Tabantha Wheat, Cane Sugar, Goat Butter, Swift Carrot, Endura Carrot",Tabantha Wheat
Carrot Cake,Cake and Sweets,Cooked,3,Speed or Stamina,None,None,Even those who don't like carrots tend to enjoy the mild sweetness of this cake.,"Tabantha Wheat, Cane Sugar, Goat Butter, Swift Carrot, Endura Carrot", Cane Sugar
Carrot Cake,Cake and Sweets,Cooked,3,Speed or Stamina,None,None,Even those who don't like carrots tend to enjoy the mild sweetness of this cake.,"Tabantha Wheat, Cane Sugar, Goat Butter, Swift Carrot, Endura Carrot", Goat Butter
Carrot Cake,Cake and Sweets,Cooked,3,Speed or Stamina,None,None,Even those who don't like carrots tend to enjoy the mild sweetness of this cake.,"Tabantha Wheat, Cane Sugar, Goat Butter, Swift Carrot, Endura Carrot", Swift Carrot
Carrot Cake,Cake and Sweets,Cooked,3,Speed or Stamina,None,None,Even those who don't like carrots tend to enjoy the mild sweetness of this cake.,"Tabantha Wheat, Cane Sugar, Goat Butter, Swift Carrot, Endura Carrot", Endura Carrot
Carrot Stew,Vegetables,Cooked,4,Speed or Stamina,None,None,This simple stew sat simmering for a long time to bring out the sweetness of the carrots.,"Fresh Milk, Goat Butter, Tabantha Wheat, Swift Carrot, Endura Carrot",Fresh Milk
Carrot Stew,Vegetables,Cooked,4,Speed or Stamina,None,None,This simple stew sat simmering for a long time to bring out the sweetness of the carrots.,"Fresh Milk, Goat Butter, Tabantha Wheat, Swift Carrot, Endura Carrot", Goat Butter
Carrot Stew,Vegetables,Cooked,4,Speed or Stamina,None,None,This simple stew sat simmering for a long time to bring out the sweetness of the carrots.,"Fresh Milk, Goat Butter, Tabantha Wheat, Swift Carrot, Endura Carrot", Tabantha Wheat
Carrot Stew,Vegetables,Cooked,4,Speed or Stamina,None,None,This simple stew sat simmering for a long time to bring out the sweetness of the carrots.,"Fresh Milk, Goat Butter, Tabantha Wheat, Swift Carrot, Endura Carrot", Swift Carrot
Carrot Stew,Vegetables,Cooked,4,Speed or Stamina,None,None,This simple stew sat simmering for a long time to bring out the sweetness of the carrots.,"Fresh Milk, Goat Butter, Tabantha Wheat, Swift Carrot, Endura Carrot", Endura Carrot
Charred Pepper,Other Recipes,Roasted,0.75,None,None,None,A pepper that's been gently caressed by an open flame. It's much less spicy now.,Spicy Pepper,Spicy Pepper
Chilly Elixir,Other Recipes,Elixir,0,Resistance,None,Chilly,"Grants a X-level cooling effect, raising your body's resistance to heat. Crucial for long journeys through the desert.","Winterwing Butterfly, Cold Darner",Winterwing Butterfly
Chilly Elixir,Other Recipes,Elixir,0,Resistance,None,Chilly,"Grants a X-level cooling effect, raising your body's resistance to heat. Crucial for long journeys through the desert.","Winterwing Butterfly, Cold Darner", Cold Darner
